set_id,title,verification,direct_pdf_count,direct_pdf_urls,archival_evidence_count,archival_evidence_urls,state
1277,Drill Craft / Hovercraft with Ice Saws,CANON_VERIFIED_ARCHIVAL,0,,1,https://kb.rockraidersunited.com/images/2/2f/1277_Hovercraft_with_Ice_Saws.pdf,NO_OFFICIAL_PDF_LOCATED
4910,The Hover Scout,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128290.pdf,0,,DIRECT_PDF_LOCATED
4920,Rapid Rider,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128168.pdf,0,,DIRECT_PDF_LOCATED
4930,Rock Raiders Crew,CANON_VERIFIED_ARCHIVAL,0,,3,https://kb.rockraidersunited.com/4930_Rock_Raiders_Crew;https://kb.rockraidersunited.com/images/b/bd/4930_OutBox.jpg;https://www.bricklink.com/catalogItemInv.asp?S=4930-1,NO_OFFICIAL_PDF_LOCATED
4940,Granite Grinder,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128317.pdf,0,,DIRECT_PDF_LOCATED
4950,Loader Dozer,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128419.pdf,0,,DIRECT_PDF_LOCATED
4970,The Chrome Crusher,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4129264.pdf,0,,DIRECT_PDF_LOCATED
4980,Tunnel Transport,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4128427.pdf,0,,DIRECT_PDF_LOCATED
4990,Rock Raiders HQ,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4129017.pdf,0,,DIRECT_PDF_LOCATED
1195,Alien Encounter,CANON_VERIFIED_ARCHIVAL,0,,0,,NO_OFFICIAL_PDF_LOCATED
3750,Life on Mars Accessories,CANON_VERIFIED_ARCHIVAL,0,,0,,NO_OFFICIAL_PDF_LOCATED
7300,Double Hover,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4156313.pdf,0,,DIRECT_PDF_LOCATED
7301,Rover,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4156314.pdf,0,,DIRECT_PDF_LOCATED
7302,Worker Robot,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4130290.pdf,0,,DIRECT_PDF_LOCATED
7303,Jet Scooter,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4130291.pdf,0,,DIRECT_PDF_LOCATED
7310,Mono Jet,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4130805.pdf,0,,DIRECT_PDF_LOCATED
7311,Red Planet Cruiser,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4130806.pdf,0,,DIRECT_PDF_LOCATED
7312,T3-Trike,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4130807.pdf,0,,DIRECT_PDF_LOCATED
7313,Red Planet Protector,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4160158.pdf,0,,DIRECT_PDF_LOCATED
7314,Recon-Mech RP,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4130809.pdf,0,,DIRECT_PDF_LOCATED
7315,Solar Explorer,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4130810.pdf,0,,DIRECT_PDF_LOCATED
7316,Excavation Searcher,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4130811.pdf,0,,DIRECT_PDF_LOCATED
7317,Aero Tube Hangar,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4160159.pdf,0,,DIRECT_PDF_LOCATED
5617,Alien Jet,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4525566.pdf,0,,DIRECT_PDF_LOCATED
5619,Crystal Hawk,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4533843.pdf,0,,DIRECT_PDF_LOCATED
7644,MX-81 Hypersonic Operations Aircraft,PRIMARY_VERIFIED,2,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4534843.pdf;https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4537579.pdf,0,,DIRECT_PDF_LOCATED
7645,MT-61 Crystal Reaper,PRIMARY_VERIFIED,2,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4534846.pdf;https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4549395.pdf,0,,DIRECT_PDF_LOCATED
7646,ETX Alien Infiltrator,PRIMARY_VERIFIED,1,https://www.lego.com/cdn/product-assets/product.bi.core.pdf/4534848.pdf,0,,DIRECT_PDF_LOCATED
